Pigmento Blanco (TiO2),Extender (CaCO3),Ligante (Resina Acrílica),Coalescente,Dispersante,Aditivo Antimicrobiano,Otros Aditivos,Agua,Tipo de Pintura,Proveedor Pigmento Blanco,Estado Final,Resistencia al Fregado (Ciclos),Viscosidad Final (KU),Poder Cubriente (m²/L),Brillo (60°),Estabilidad (meses),L,a,b
506.63,144.55,519.97,7.62,8.83,2.21,3.59,68.8,Brillante,Proveedor C,Falla - Viscosidad Alta,1583.0,110.0,20.95,64.0,20.7,97.59,2.97,-0.43
414.79,119.19,401.57,6.12,5.32,1.95,12.05,170.77,Satinado,Proveedor C,Éxito,1574.0,91.6,19.47,15.0,25.6,95.7,0.88,1.4
455.51,109.82,575.58,16.66,8.69,2.18,7.29,203.04,Mate,Proveedor A,Éxito,1847.0,91.7,21.8,25.0,24.8,95.31,-1.27,2.49
331.1,204.27,374.06,14.53,7.58,0.77,3.09,115.22,Mate,Proveedor B,Éxito,1579.0,92.1,17.74,19.0,25.6,89.36,0.82,-3.1
489.69,132.83,467.76,14.93,1.02,2.72,9.81,299.23,Satinado,Proveedor B,Éxito,1479.0,91.2,21.49,33.0,23.5,85.81,2.07,4.73
312.61,158.2,283.47,15.51,0.77,0.55,5.33,297.11,Brillante,Proveedor C,Éxito,1513.0,90.8,18.25,53.0,18.3,93.99,3.68,-0.67
440.79,114.0,423.36,18.14,1.39,1.62,12.37,168.36,Brillante,Proveedor B,Éxito,1666.0,91.9,20.9,39.0,24.1,85.53,3.46,-0.85
452.68,179.83,279.92,10.58,8.43,2.22,11.86,243.87,Mate,Proveedor A,Éxito,1314.0,91.0,20.39,19.0,25.8,96.57,-1.08,2.13
217.07,309.29,205.0,15.9,4.82,2.93,2.09,239.07,Mate,Proveedor A,Falla - Bajo Poder Cubriente,1312.0,91.0,5.44,19.0,23.0,90.81,-4.26,4.84
499.72,188.23,556.03,17.2,6.6,2.08,11.31,272.05,Mate,Proveedor A,Éxito,1564.0,91.4,22.21,13.0,22.0,85.22,-0.46,-4.98
358.32,187.63,413.15,15.02,9.36,0.87,3.48,58.23,Satinado,Proveedor C,Éxito,1612.0,93.2,17.14,17.0,25.8,92.62,-0.04,-4.73
307.01,116.06,293.48,7.1,6.27,1.16,1.59,270.08,Brillante,Proveedor B,Éxito,1441.0,90.8,17.81,61.0,18.3,91.79,2.32,-2.25
431.47,127.98,226.46,8.04,6.03,1.1,7.38,55.98,Mate,Proveedor C,Éxito,1414.0,92.8,20.51,12.0,16.6,93.68,-4.57,-4.28
308.11,162.83,274.37,10.95,1.69,0.16,13.14,267.57,Brillante,Proveedor A,Éxito,1558.0,90.9,15.35,49.0,13.7,85.65,-3.71,4.31
356.34,205.92,553.26,6.21,9.0,1.66,9.43,75.16,Satinado,Proveedor A,Éxito,1601.0,93.4,17.92,17.0,24.8,96.27,-2.8,-2.58
359.75,160.67,436.02,16.47,8.66,0.76,14.74,73.82,Mate,Proveedor A,Éxito,1754.0,92.9,17.43,7.0,23.2,95.8,-2.8,0.04
487.22,119.72,497.05,14.41,1.26,0.18,10.35,233.27,Mate,Proveedor B,Falla - Baja Estabilidad,1801.0,91.6,18.47,19.0,4.6,89.75,3.96,-1.08
301.89,219.85,373.41,19.49,2.34,2.33,3.95,180.53,Mate,Proveedor A,Éxito,1620.0,91.6,16.05,15.0,17.5,96.74,-0.25,-0.97
